,Unnamed: 0,Tweet,Autor,Fecha,Likes,Retweets,Subjectividad,Polaridad,Analisis
0,0,"_espanol:    Josep Borrell, jefe de la diplomacia de la UE, atribuye la inseguridad alimentaria mundial al bloqueo ruso de pue…",mindiespe,2022-06-20 23:48:13,44,0,0.0,0.0,Neutral
1,1,": La Iniciativa de los Tres Mares, que engloba doce Estados miembros de la UE ubicados entre los mares Báltico, Adriático y…",RaiderJ0KER,2022-06-20 23:48:12,12,0,0.0,0.0,Neutral
2,2,: Rusia informa que dejó polvo cósmico cuatro cañones Howitzer suministrados a Ucrania por EEUU en Donetsk.,lucy13mujer,2022-06-20 23:48:11,337,0,0.0,0.0,Neutral
3,3,":  Rusia vs Ucrania (día 117) - Según oficiales del Pentágono, una guerra prolongada hará que Rusia se muestre más agr…",marcovallejob,2022-06-20 23:48:09,7,0,0.0,0.0,Neutral
4,4,": Azmilitary1:
La crisis por la situación en Ucrania será duradera, Rusia nunca volverhá a confiar en Occidente, 
dijo Dm…",Luisbasaragua6,2022-06-20 23:48:07,11,0,0.0,0.0,Neutral
5,5,: Las fuerzas especiales rusas del grupo🅾️ desnazificaron a varios ucronazis del Batallón Aidar en la región de Slovyansk…,FreddyJohans,2022-06-20 23:48:06,26,0,0.0,0.0,Neutral
6,6,"_token: Las naciones de la UE presionan por nuevas sanciones a Rusia y más ayuda militar a Ucrania.

En su mayoría estados nórdic…",bagdoliofig,2022-06-20 23:48:03,118,0,0.0,0.0,Neutral
7,7,: ALERTA De acuerdo con reportes del Min de Defensa de Rusia los EEUU probaron neuromoduladores altamente activos en ciudad…,JeanC1981,2022-06-20 23:48:02,27,0,0.0,0.0,Neutral
8,8,"2: Uyy esto no le va a gustar al tal Ricardo Anaya..
A puro humo van en Alemania. 
El gobierno alemán anuncia que va a reacti…",amercamp2013,2022-06-20 23:48:02,1198,0,0.0,0.0,Neutral
9,9,": MIENTE
‼️ Por supuesto, Ucrania nunca se uniría ni a la UE ni a la OTAN, le están mintiendo a Ucrania durante 30 años,…",chugar_jhonson,2022-06-20 23:48:01,16,0,0.0,0.0,Neutral
10,10,"_VN: Infografía 

▶️ Conoce la impresionante cifra de armamento y equipamiento militar que Estados Unidos ha entregado a Ucrani…",henryjcarrera,2022-06-20 23:48:00,38,0,0.0,0.0,Neutral
11,11,": Saludos Familia en colombia
desde algun lugar de Ucrania ",giorozas,2022-06-20 23:47:59,17,0,0.0,0.0,Neutral
12,12,: Lo atan y le ponen film en el cuello para que se ahogue cuando el cuerpo no resista más el cansancio. (Pero no son nazis)…,linoahm,2022-06-20 23:47:59,1006,0,0.0,0.0,Neutral
13,13,"Canciller Serguéi Lavrov 
Rusia inició su operativo cuando no le quedó otra manera para explicarle a Occidente qu… ",geniuslawyer,2022-06-20 23:47:59,0,0,0.0,0.0,Neutral
14,14,"_ai: Faltó política, faltó diálogo: el  ""lentejo"" aseguró que la guerra entre Rusia y Ucrania fue mal manejada por las naciones…",tumac701128,2022-06-20 23:47:59,71,0,0.0,0.0,Neutral
15,15,"_token: Ucrania ataca plataformas petrolíferas rusas en mar Negro, según autoridades.

Al menos 3 personas resultaron heridas y 7 d…",guiller76077585,2022-06-20 23:47:56,205,0,0.0,0.0,Neutral
16,16," Ah, y aun lado de la bandera de Ucrania también cuelga la bandera de España.",crescenciohb200,2022-06-20 23:47:54,0,0,0.0,0.0,Neutral
17,17,":  | Ucrania bombardeo un edificio residencial, en la ciudad Donetsk, hiriendo a 4 personas, entre ellos un niño. Lo…",alexosantini,2022-06-20 23:47:53,1,0,0.0,0.0,Neutral
18,18,: ❗️Crimea denuncia que ataques de Ucrania contra sus plataformas de perforación de gas dejaron varios heridos,Luisbasaragua6,2022-06-20 23:47:52,59,0,0.0,0.0,Neutral
