,Tweet,Autor,Fecha,Likes,Retweets
0,"RT @dw_espanol: 🇪🇺 🇷🇺 🇺🇦 Josep Borrell, jefe de la diplomacia de la #UE, atribuye la inseguridad alimentaria mundial al bloqueo ruso de pue…",mindiespe,2022-06-20 23:48:13,44,0
1,"RT @EFEnoticias: La Iniciativa de los Tres Mares, que engloba doce Estados miembros de la UE ubicados entre los mares Báltico, Adriático y…",RaiderJ0KER,2022-06-20 23:48:12,12,0
2,RT @VanessaOrtizz: Rusia informa que dejó polvo cósmico cuatro cañones Howitzer suministrados a Ucrania por EEUU en Donetsk.,lucy13mujer,2022-06-20 23:48:11,337,0
3,"RT @REjercitos: 🇷🇺🔥🇺🇦 #Rusia vs #Ucrania (día 117) - Según oficiales del Pentágono, una guerra prolongada hará que Rusia se muestre más agr…",marcovallejob,2022-06-20 23:48:09,7,0
4,"RT @pueblopatriota: Azmilitary1:
La crisis por la situación en Ucrania será duradera, Rusia nunca volverhá a confiar en Occidente, 
dijo Dm…",Luisbasaragua6,2022-06-20 23:48:07,11,0
5,RT @DaniMayakovski: Las fuerzas especiales rusas del grupo🅾️ desnazificaron a varios ucronazis del Batallón Aidar en la región de Slovyansk…,FreddyJohans,2022-06-20 23:48:06,26,0
6,"RT @UKR_token: Las naciones de la #UE presionan por nuevas sanciones a #Rusia y más ayuda militar a #Ucrania.

En su mayoría estados nórdic…",bagdoliofig,2022-06-20 23:48:03,118,0
7,RT @TronAleks: #ALERTA De acuerdo con reportes del Min de Defensa de #Rusia los #EEUU probaron neuromoduladores altamente activos en ciudad…,JeanC1981,2022-06-20 23:48:02,27,0
8,"RT @andreitav92: Uyy esto no le va a gustar al tal Ricardo Anaya..
A puro humo van en Alemania. 
El gobierno alemán anuncia que va a reacti…",amercamp2013,2022-06-20 23:48:02,1198,0
9,"RT @pueblopatriota: MIENTE
‼️ Por supuesto, Ucrania nunca se uniría ni a la UE ni a la OTAN, le están mintiendo a Ucrania durante 30 años,…",chugar_jhonson,2022-06-20 23:48:01,16,0
10,"RT @Agencia_VN: #Infografía 

▶️ Conoce la impresionante cifra de armamento y equipamiento militar que Estados Unidos ha entregado a Ucrani…",henryjcarrera,2022-06-20 23:48:00,38,0
11,"RT @banpercie: Saludos Familia en colombia🇨🇴
desde algun lugar de Ucrania🇺🇦 https://t.co/NdVTPp3hFR",giorozas,2022-06-20 23:47:59,17,0
12,RT @asturestepa: Lo atan y le ponen film en el cuello para que se ahogue cuando el cuerpo no resista más el cansancio. (Pero no son nazis)…,linoahm,2022-06-20 23:47:59,1006,0
13,"Canciller Serguéi Lavrov 🇷🇺
Rusia inició su operativo cuando no le quedó otra manera para explicarle a Occidente qu… https://t.co/YV3rTUhA3A",geniuslawyer,2022-06-20 23:47:59,0,0
14,"RT @consuelo_ai: Faltó política, faltó diálogo: el  ""lentejo"" aseguró que la guerra entre Rusia y Ucrania fue mal manejada por las naciones…",tumac701128,2022-06-20 23:47:59,71,0
15,"RT @UKR_token: #Ucrania ataca plataformas petrolíferas rusas en mar Negro, según autoridades.

Al menos 3 personas resultaron heridas y 7 d…",guiller76077585,2022-06-20 23:47:56,205,0
16,"@FelipeCalderon Ah, y aun lado de la bandera de Ucrania también cuelga la bandera de España.",crescenciohb200,2022-06-20 23:47:54,0,0
17,"RT @MundoEConflicto: 🇷🇺🇺🇦 | Ucrania bombardeo un edificio residencial, en la ciudad Donetsk, hiriendo a 4 personas, entre ellos un niño. Lo…",alexosantini,2022-06-20 23:47:53,1,0
